event_id,user_id,session_id,event_time,event_type,product_id,category,price,city,device_type
1,user_19,session_1,2025-11-10 03:33:05,open_app,,,,Islamabad,web
2,user_19,session_1,2025-11-10 03:40:05,view_product,prod_66,Grocery,312.6,Islamabad,web
3,user_19,session_1,2025-11-10 03:42:05,view_product,prod_12,Electronics,643.22,Islamabad,web
4,user_19,session_1,2025-11-10 03:50:05,add_to_cart,prod_124,Home & Kitchen,454.7,Islamabad,web
5,user_19,session_1,2025-11-10 03:51:05,add_to_cart,prod_228,Electronics,18.23,Islamabad,web
6,user_19,session_1,2025-11-10 03:59:05,view_product,prod_241,Clothing,250.81,Islamabad,web
7,user_19,session_1,2025-11-10 04:07:05,view_product,prod_26,Home & Kitchen,314.24,Islamabad,web
8,user_19,session_1,2025-11-10 04:09:05,view_product,prod_172,Home & Kitchen,265.91,Islamabad,web
9,user_19,session_1,2025-11-10 04:15:05,logout,,,,Islamabad,web
10,user_52,session_2,2025-10-19 12:06:39,open_app,,,,Karachi,ios
11,user_52,session_2,2025-10-19 12:16:39,view_product,prod_207,Home & Kitchen,250.55,Karachi,ios
12,user_52,session_2,2025-10-19 12:26:39,view_product,prod_181,Home & Kitchen,995.15,Karachi,ios
13,user_52,session_2,2025-10-19 12:31:39,view_product,prod_90,Clothing,674.35,Karachi,ios
14,user_52,session_2,2025-10-19 12:32:39,view_product,prod_198,Grocery,957.15,Karachi,ios
15,user_52,session_2,2025-10-19 12:42:39,add_to_cart,prod_138,Sports,361.52,Karachi,ios
16,user_52,session_2,2025-10-19 12:46:39,purchase,prod_138,Sports,361.52,Karachi,ios
17,user_52,session_2,2025-10-19 12:52:39,view_product,prod_163,Sports,800.83,Karachi,ios
18,user_52,session_2,2025-10-19 13:02:39,view_product,prod_147,Sports,381.35,Karachi,ios
19,user_52,session_2,2025-10-19 13:04:39,logout,,,,Karachi,ios
20,user_64,session_3,2025-10-21 10:19:10,open_app,,,,Karachi,ios
21,user_64,session_3,2025-10-21 10:23:10,view_product,prod_61,Clothing,719.79,Karachi,ios
22,user_64,session_3,2025-10-21 10:33:10,view_product,prod_143,Grocery,601.86,Karachi,ios
23,user_64,session_3,2025-10-21 10:41:10,view_product,prod_33,Clothing,800.46,Karachi,ios
24,user_94,session_4,2025-11-08 09:09:01,open_app,,,,Rawalpindi,web
25,user_94,session_4,2025-11-08 09:10:01,view_product,prod_212,Grocery,547.37,Rawalpindi,web
26,user_94,session_4,2025-11-08 09:11:01,view_product,prod_113,Home & Kitchen,452.78,Rawalpindi,web
27,user_94,session_4,2025-11-08 09:21:01,view_product,prod_200,Sports,615.42,Rawalpindi,web
28,user_94,session_4,2025-11-08 09:22:01,view_product,prod_180,Grocery,289.89,Rawalpindi,web
29,user_94,session_4,2025-11-08 09:31:01,view_product,prod_156,Sports,663.85,Rawalpindi,web
30,user_94,session_4,2025-11-08 09:32:01,view_product,prod_199,Clothing,468.53,Rawalpindi,web
31,user_94,session_4,2025-11-08 09:37:01,view_product,prod_237,Electronics,362.95,Rawalpindi,web
32,user_94,session_4,2025-11-08 09:47:01,view_product,prod_126,Grocery,647.12,Rawalpindi,web
33,user_94,session_4,2025-11-08 09:55:01,logout,,,,Rawalpindi,web
34,user_56,session_5,2025-10-29 09:42:51,open_app,,,,Rawalpindi,web
35,user_56,session_5,2025-10-29 09:44:51,view_product,prod_92,Clothing,646.18,Rawalpindi,web
36,user_56,session_5,2025-10-29 09:45:51,add_to_cart,prod_88,Clothing,201.67,Rawalpindi,web
37,user_56,session_5,2025-10-29 09:52:51,view_product,prod_212,Grocery,547.37,Rawalpindi,web
38,user_56,session_5,2025-10-29 10:00:51,logout,,,,Rawalpindi,web
39,user_6,session_6,2025-11-09 04:01:42,open_app,,,,Rawalpindi,android
40,user_6,session_6,2025-11-09 04:05:42,view_product,prod_86,Grocery,588.53,Rawalpindi,android
41,user_6,session_6,2025-11-09 04:07:42,add_to_cart,prod_207,Home & Kitchen,250.55,Rawalpindi,android
42,user_6,session_6,2025-11-09 04:11:42,purchase,prod_207,Home & Kitchen,250.55,Rawalpindi,android
